No,㎡単価,交通,価格,取引態様,取引状況,商号,坪単価,専有面積,建物名,所在地,所在階,沿線駅,物件番号,物件種目,用途地域,管理費,築年月,間取,電話番号
,129.0万円,徒歩　7分,"1,780万円",売主,-,（株）ランドネット,426.4万円,13.80㎡,秀和赤坂レジデンシャルホテル,東京都港区赤坂９丁目,5階,千代田線　赤坂,100137128473,中古マンション,二中,"13,193円",1971年（昭和46年） 5月,ワンルーム,03-3986-3986
,230.7万円,徒歩　3分,"7,980万円",専任,公開中,（株）大京穴吹不動産　飯田橋店,762.5万円,34.60㎡,,東京都港区海岸１丁目,2階,山手線　浜松町,100137124509,中古マンション,商業,"11,780円",2005年（平成17年） 7月,ワンルーム,03-3239-3950
,911.9万円,徒歩　3分,"29,800万円",代理,-,（株）クオリスト,"3,014.5万円",32.68㎡,麻布台ヒルズ　レジデンスＢ,東京都港区麻布台１丁目,19階,南北線　六本木一丁目,100137171794,中古マンション,二中,"24,100円",2025年（令和 7年）11月,1Ｋ,090-3340-0826
,911.9万円,徒歩　3分,"29,800万円",代理,-,（株）クオリスト,"3,014.5万円",32.68㎡,麻布台ヒルズ　レジデンスＢ,東京都港区麻布台１丁目,19階,南北線　六本木一丁目,100137120202,新築マンション,二中,"24,100円",2025年（令和 7年）11月,1Ｋ,090-3340-0826
,142.3万円,徒歩　3分,"3,300万円",専属 オーナーチェンジ,公開中,（株）ＢＥＳＴＲＵＳＴ,470.3万円,23.20㎡,ガリシア浜松町,東京都港区浜松町２丁目,2階,山手線　浜松町,100136844403,中古マンション,商業,"11,980円",2006年（平成18年） 8月,1Ｋ,03-6550-9683
,108.6万円,徒歩　9分,"3,980万円",専任,公開中,（株）ツクルバ,358.8万円,36.67㎡,ニューハイム田町,東京都港区芝浦２丁目,4階,ゆりかもめ　芝浦ふ頭,100137057348,中古マンション,準工,"16,700円",1980年（昭和55年） 3月,1ＬＤＫ,03-5725-0182
,121.4万円,徒歩　3分,"2,380万円",売主,-,（株）ランドネット,401.1万円,19.62㎡,永谷ヒルプラザ六本木,東京都港区六本木７丁目,10階,千代田線　乃木坂,100136500979,中古マンション,一住,"7,937円",1972年（昭和47年）11月,ワンルーム,090-1992-0469
,127.9万円,徒歩　3分,"4,680万円",一般,-,（株）東宝ハウス世田谷,422.6万円,36.61㎡,クレール芝,東京都港区芝４丁目,4階,都営三田線　三田,100136337444,中古マンション,商業,"15,480円",1982年（昭和57年） 4月,1ＬＤＫ,03-6277-9001
,146.8万円,徒歩　3分,"3,750万円",専任 オーナーチェンジ,公開中,マジュニア（株）　広尾不動産,485.2万円,25.55㎡,グランティアラ芝公園,東京都港区芝公園２丁目,5階,大江戸線　大門,100136734217,中古マンション,商業,"10,730円",2008年（平成20年） 3月,1Ｋ,080-2213-0623
,129.7万円,徒歩　8分,"4,200万円",一般,-,日清城北（株）,428.6万円,32.40㎡,ニュー白金マンション,東京都港区白金４丁目,5階,南北線　白金高輪,100137166514,中古マンション,一中,"7,450円",1971年（昭和46年）10月,ワンルーム,080-3572-1166
,98.1万円,徒歩　4分,"1,750万円",売主 オーナーチェンジ,-,（株）ライオンハウス,324.3万円,17.84㎡,プライム赤坂,東京都港区赤坂２丁目,5階,千代田線　赤坂,100137165595,中古マンション,商業,"12,180円",1979年（昭和54年）10月,ワンルーム,03-6908-7268
,185.5万円,徒歩　5分,"4,880万円",専任,公開中,野村不動産ソリューションズ（株）　麻布営業部,613.0万円,26.32㎡,ルジェンテ白金台,東京都港区白金台２丁目,6階,都営浅草線　高輪台,100137163474,中古マンション,商業,"8,590円",2005年（平成17年） 3月,ワンルーム,03-5444-2281
,308.2万円,徒歩　5分,"11,480万円",専任,公開中,野村不動産ソリューションズ（株）　目黒センター,"1,018.9万円",37.25㎡,ピアース南麻布,東京都港区南麻布２丁目,7階,南北線　白金高輪,100137013535,中古マンション,商業,"11,500円",2018年（平成30年）10月,1ＬＤＫ,03-6408-5524
