差分ID,物件番号,差分種別,差分検出日,参照元ファイル,更新フィールド数,更新フィールド一覧
20251207_001,100128008675,削除,2025-12-07,reins_20251206.csv,,
20251207_002,100128009773,削除,2025-12-07,reins_20251206.csv,,
20251207_003,100131480991,削除,2025-12-07,reins_20251206.csv,,
20251207_004,100132119173,削除,2025-12-07,reins_20251206.csv,,
20251207_005,100133006171,削除,2025-12-07,reins_20251206.csv,,
20251207_006,100133160215,削除,2025-12-07,reins_20251206.csv,,
20251207_007,100133269068,削除,2025-12-07,reins_20251206.csv,,
20251207_008,100133280908,削除,2025-12-07,reins_20251206.csv,,
20251207_009,100134763052,削除,2025-12-07,reins_20251206.csv,,
20251207_010,100135016758,削除,2025-12-07,reins_20251206.csv,,
20251207_011,100135248222,削除,2025-12-07,reins_20251206.csv,,
20251207_012,100135248867,削除,2025-12-07,reins_20251206.csv,,
20251207_013,100135272756,削除,2025-12-07,reins_20251206.csv,,
20251207_014,100135400457,削除,2025-12-07,reins_20251206.csv,,
20251207_015,100135597769,削除,2025-12-07,reins_20251206.csv,,
20251207_016,100135616960,削除,2025-12-07,reins_20251206.csv,,
20251207_017,100135808929,削除,2025-12-07,reins_20251206.csv,,
20251207_018,100135844361,削除,2025-12-07,reins_20251206.csv,,
20251207_019,100135849062,削除,2025-12-07,reins_20251206.csv,,
20251207_020,100135849334,削除,2025-12-07,reins_20251206.csv,,
20251207_021,100135850590,削除,2025-12-07,reins_20251206.csv,,
20251207_022,100135850993,削除,2025-12-07,reins_20251206.csv,,
20251207_023,100135851785,削除,2025-12-07,reins_20251206.csv,,
20251207_024,100135854415,削除,2025-12-07,reins_20251206.csv,,
20251207_025,100135889482,削除,2025-12-07,reins_20251206.csv,,
20251207_026,100135890178,削除,2025-12-07,reins_20251206.csv,,
20251207_027,100135905492,削除,2025-12-07,reins_20251206.csv,,
20251207_028,100135940398,削除,2025-12-07,reins_20251206.csv,,
20251207_029,100135940417,削除,2025-12-07,reins_20251206.csv,,
20251207_030,100135957761,削除,2025-12-07,reins_20251206.csv,,
20251207_031,100135977251,削除,2025-12-07,reins_20251206.csv,,
20251207_032,100135977748,削除,2025-12-07,reins_20251206.csv,,
20251207_033,100135979435,削除,2025-12-07,reins_20251206.csv,,
20251207_034,100135989084,削除,2025-12-07,reins_20251206.csv,,
20251207_035,100136009560,削除,2025-12-07,reins_20251206.csv,,
20251207_036,100136015971,削除,2025-12-07,reins_20251206.csv,,
20251207_037,100136024938,削除,2025-12-07,reins_20251206.csv,,
20251207_038,100136032139,削除,2025-12-07,reins_20251206.csv,,
20251207_039,100136068738,削除,2025-12-07,reins_20251206.csv,,
20251207_040,100136069165,削除,2025-12-07,reins_20251206.csv,,
20251207_041,100136083014,削除,2025-12-07,reins_20251206.csv,,
20251207_042,100136121942,削除,2025-12-07,reins_20251206.csv,,
20251207_043,100136121956,削除,2025-12-07,reins_20251206.csv,,
20251207_044,100136154860,削除,2025-12-07,reins_20251206.csv,,
20251207_045,100136162973,削除,2025-12-07,reins_20251206.csv,,
20251207_046,100136162975,削除,2025-12-07,reins_20251206.csv,,
20251207_047,100136163119,削除,2025-12-07,reins_20251206.csv,,
20251207_048,100136173379,削除,2025-12-07,reins_20251206.csv,,
20251207_049,100136193550,削除,2025-12-07,reins_20251206.csv,,
20251207_050,100136197418,削除,2025-12-07,reins_20251206.csv,,
20251207_051,100136207353,削除,2025-12-07,reins_20251206.csv,,
20251207_052,100136260044,削除,2025-12-07,reins_20251206.csv,,
20251207_053,100136303242,削除,2025-12-07,reins_20251206.csv,,
20251207_054,100136319549,削除,2025-12-07,reins_20251206.csv,,
20251207_055,100136388097,削除,2025-12-07,reins_20251206.csv,,
20251207_056,100136403538,削除,2025-12-07,reins_20251206.csv,,
20251207_057,100136406971,削除,2025-12-07,reins_20251206.csv,,
20251207_058,100136412259,削除,2025-12-07,reins_20251206.csv,,
20251207_059,100136426398,削除,2025-12-07,reins_20251206.csv,,
20251207_060,100136450591,削除,2025-12-07,reins_20251206.csv,,
20251207_061,100136472868,削除,2025-12-07,reins_20251206.csv,,
20251207_062,100136518051,削除,2025-12-07,reins_20251206.csv,,
20251207_063,100136559619,削除,2025-12-07,reins_20251206.csv,,
20251207_064,100136580401,削除,2025-12-07,reins_20251206.csv,,
20251207_065,100136584225,削除,2025-12-07,reins_20251206.csv,,
20251207_066,100136600979,削除,2025-12-07,reins_20251206.csv,,
20251207_067,100136618464,削除,2025-12-07,reins_20251206.csv,,
20251207_068,100136620915,削除,2025-12-07,reins_20251206.csv,,
20251207_069,100136627942,削除,2025-12-07,reins_20251206.csv,,
20251207_070,100136630985,削除,2025-12-07,reins_20251206.csv,,
20251207_071,100136640192,削除,2025-12-07,reins_20251206.csv,,
20251207_072,100136655121,削除,2025-12-07,reins_20251206.csv,,
20251207_073,100136665913,削除,2025-12-07,reins_20251206.csv,,
20251207_074,100136724774,削除,2025-12-07,reins_20251206.csv,,
20251207_075,100136728825,削除,2025-12-07,reins_20251206.csv,,
20251207_076,100136752474,削除,2025-12-07,reins_20251206.csv,,
20251207_077,100136765670,削除,2025-12-07,reins_20251206.csv,,
20251207_078,100136770010,削除,2025-12-07,reins_20251206.csv,,
20251207_079,100136772724,削除,2025-12-07,reins_20251206.csv,,
20251207_080,100136803153,削除,2025-12-07,reins_20251206.csv,,
20251207_081,100136807300,削除,2025-12-07,reins_20251206.csv,,
20251207_082,100136837082,削除,2025-12-07,reins_20251206.csv,,
20251207_083,100136837091,削除,2025-12-07,reins_20251206.csv,,
20251207_084,100136837122,削除,2025-12-07,reins_20251206.csv,,
20251207_085,100136855156,削除,2025-12-07,reins_20251206.csv,,
20251207_086,100136859914,削除,2025-12-07,reins_20251206.csv,,
20251207_087,100136859924,削除,2025-12-07,reins_20251206.csv,,
20251207_088,100136861516,削除,2025-12-07,reins_20251206.csv,,
20251207_089,100136868611,削除,2025-12-07,reins_20251206.csv,,
20251207_090,100136889270,削除,2025-12-07,reins_20251206.csv,,
20251207_091,100136889591,削除,2025-12-07,reins_20251206.csv,,
20251207_092,100136903105,削除,2025-12-07,reins_20251206.csv,,
20251207_093,100136935902,削除,2025-12-07,reins_20251206.csv,,
20251207_094,100136952341,削除,2025-12-07,reins_20251206.csv,,
20251207_095,100136952627,削除,2025-12-07,reins_20251206.csv,,
20251207_096,100136953407,削除,2025-12-07,reins_20251206.csv,,
20251207_097,100136966583,削除,2025-12-07,reins_20251206.csv,,
20251207_098,100136966703,削除,2025-12-07,reins_20251206.csv,,
20251207_099,100136973727,削除,2025-12-07,reins_20251206.csv,,
20251207_100,100136982672,削除,2025-12-07,reins_20251206.csv,,
20251207_101,100136991667,削除,2025-12-07,reins_20251206.csv,,
20251207_102,100136991737,削除,2025-12-07,reins_20251206.csv,,
20251207_103,100137001627,削除,2025-12-07,reins_20251206.csv,,
20251207_104,100137006801,削除,2025-12-07,reins_20251206.csv,,
20251207_105,100137016793,削除,2025-12-07,reins_20251206.csv,,
20251207_106,100137017853,削除,2025-12-07,reins_20251206.csv,,
