No,物件番号,物件種目,専有面積,所在地,取引態様,価格,用途地域,㎡単価,建物名,所在階,間取,取引状況,管理費,坪単価,沿線駅,交通,商号,築年月,電話番号
,100135732361,中古マンション,90.99㎡,東京都渋谷区富ヶ谷１丁目,専任,"25,800万円",近商,283.6万円,ザ・シーラ渋谷富ヶ谷,5階,1ＬＤＫ,公開中,"63,510円",937.4万円,千代田線　代々木公園,徒歩　5分,（株）Ｊ・Ｐ・Ｅ,2024年（令和 6年）11月,080-3258-8042
,100135404948,中古マンション,56.21㎡,東京都渋谷区神宮前６丁目,売主 オーナーチェンジ,"18,500万円",商業,329.2万円,コープオリンピア,8階,1ＬＤＫ,-,"19,924円","1,088.1万円",千代田線　明治神宮前,徒歩　1分,（株）フリーダムコーポレーション,1965年（昭和40年） 3月,03-5474-5103
,100136402289,中古マンション,80.01㎡,東京都渋谷区神宮前２丁目,一般,"16,980万円",近商,212.3万円,ビラ・グロリア,2階,1ＬＤＫ,-,"38,110円",701.6万円,千代田線　明治神宮前,徒歩　8分,（株）フリーダムコーポレーション,1972年（昭和47年） 9月,03-5474-5103
,100137132967,中古マンション,40.93㎡,東京都渋谷区代々木５丁目,専任,"7,580万円",二低,185.2万円,日神パレステージ代々木公園,1階,ワンルーム,公開中,"7,900円",612.3万円,小田急線　代々木八幡,徒歩　4分,野村不動産ソリューションズ（株）　川崎営業部,2003年（平成15年） 9月,044-230-1501
,100136396793,中古マンション,49.71㎡,東京都渋谷区神宮前３丁目,一般,"11,980万円",近商,241.0万円,トゥールロワイヤル神宮前,2階,1ＬＤＫ,-,"8,400円",796.7万円,銀座線　外苑前,徒歩　6分,大安（株）,1998年（平成10年）10月,09040615874
,100137122722,中古マンション,58.65㎡,東京都渋谷区鶯谷町,一般,"23,800万円",二低,405.8万円,センチュリーフォレスト　テラスＡ,3階,1ＬＤＫ,-,"19,900円","1,341.5万円",山手線　渋谷,徒歩　5分,（株）ウィル　恵比寿営業所,2011年（平成23年） 9月,070-3317-6118
,100137131703,中古マンション,57.30㎡,東京都渋谷区初台２丁目,専任,"8,130万円",一住,141.9万円,マートルコート代々木八幡,1階,1ＳＬＤＫ,公開中,"22,580円",469.1万円,京王線　初台,徒歩　10分,（株）ウィル　恵比寿営業所,1983年（昭和58年） 6月,03-5458-8070
,100137130674,中古マンション,58.65㎡,東京都渋谷区鶯谷町,一般,"23,800万円",二低,405.8万円,センチュリーフォレストテラスＡ,3階,1ＬＤＫ,-,確認中,"1,341.5万円",湘南新宿宇　渋谷,徒歩　7分,三菱地所ハウスネット（株）　渋谷営業所,2011年（平成23年）10月,03-3400-2300
,100133757488,中古マンション,43.06㎡,東京都渋谷区桜丘町,一般 オーナーチェンジ,"8,500万円",二住,197.4万円,渋谷アジアマンション,,ワンルーム,-,"25,000円",652.6万円,山手線　渋谷,徒歩　6分,大成有楽不動産販売（株）　池袋センター,1964年（昭和39年） 6月,03-6872-1911
,100136850966,中古マンション,60.30㎡,東京都渋谷区幡ヶ谷１丁目,専属,"9,980万円",一住,165.6万円,フィールＴ幡ヶ谷,3階,1ＬＤＫ,公開中,"14,890円",547.2万円,京王線　幡ヶ谷,徒歩　2分,住友不動産ステップ（株）　渋谷マンションプラザ,2004年（平成16年） 2月,050-3112-9793
,100136388469,中古マンション,41.11㎡,東京都渋谷区千駄ヶ谷５丁目,売主,"8,480万円",商業,206.3万円,マイキャッスル代々木,7階,1ＬＤＫ,-,"8,600円",682.0万円,山手線　代々木,徒歩　5分,（株）エフステージ,1998年（平成10年）12月,03-3868-2122
,100137071375,中古マンション,43.20㎡,東京都渋谷区幡ヶ谷２丁目,売主,"6,090万円",準工,141.0万円,ライオンズマンション幡ヶ谷,5階,1ＬＤＫ,-,"10,120円",466.1万円,京王線　幡ヶ谷,徒歩　4分,（株）マイプレイス,1984年（昭和59年）11月,03-5652-8330
,100137071413,中古マンション,55.10㎡,東京都渋谷区幡ヶ谷２丁目,売主,"7,790万円",準工,141.4万円,ライオンズマンション幡ヶ谷,3階,1ＳＬＤＫ,-,"12,870円",467.4万円,京王線　幡ヶ谷,徒歩　4分,（株）マイプレイス,1984年（昭和59年）11月,03-5652-8330
,100137082103,中古マンション,64.61㎡,東京都渋谷区鉢山町,専任,"17,980万円",二低,278.3万円,ルモンド代官山,1階,1ＬＤＫ,公開中,"29,100円",920.0万円,東横線　代官山,徒歩　7分,野村不動産ソリューションズ（株）　渋谷営業部,2006年（平成18年） 3月,03-5766-2814
,100135691899,中古マンション,61.32㎡,東京都渋谷区松濤２丁目,一般,"12,980万円",二住,211.7万円,ドゥアージュコラッド松濤,3階,1ＬＤＫ,-,"26,000円",699.8万円,井の頭線　神泉,徒歩　9分,東急リバブル（株）　渋谷センター,2020年（令和 2年） 1月,03-3463-3911
,100135352884,中古マンション,52.72㎡,東京都渋谷区元代々木町,売主,"6,480万円",準住,123.0万円,元代々木ペアシティ,2階,1ＬＤＫ,-,"31,960円",406.4万円,小田急線　代々木八幡,徒歩　7分,（株）インペリアル・コーポレイション,1981年（昭和56年） 3月,03-6455-5971
,100135732396,中古マンション,60.05㎡,東京都渋谷区広尾５丁目,一般,"12,250万円",一住,204.0万円,サンアリーナ広尾,B1階,1ＬＤＫ,-,"20,420円",674.4万円,日比谷線　広尾,徒歩　3分,（株）ＷＥＧＤＩＨ,2013年（平成25年） 5月,080-3002-5166
,100137079336,中古マンション,57.06㎡,東京都渋谷区恵比寿４丁目,一般 オーナーチェンジ,"9,800万円",商業,171.8万円,クレスト恵比寿,9階,1ＬＤＫ,-,"13,400円",567.8万円,山手線　恵比寿,徒歩　2分,住友不動産ステップ（株）　渋谷第２営業センター,1980年（昭和55年） 7月,050-3112-9803
,100137025316,中古マンション,58.65㎡,東京都渋谷区鶯谷町,一般,"24,489万円",二低,417.6万円,センチュリーフォレストＡ棟,,1ＬＤＫ,-,"19,900円","1,380.4万円",山手線　渋谷,徒歩　8分,東京建物不動産販売（株）　リテール営業部,2011年（平成23年） 8月,03-6837-5800
,100136057038,中古マンション,71.84㎡,東京都渋谷区南平台町,専属,"30,800万円",二住,428.8万円,ザ・パークハウス渋谷南平台,6階,1ＬＤＫ,公開中,"57,260円","1,417.3万円",山手線　渋谷,徒歩　7分,信義房屋不動産（株）,2019年（令和 1年）11月,0353886899
,100137125294,中古マンション,40.24㎡,東京都渋谷区本町１丁目,売主,"4,580万円",一住,113.9万円,初台ハイツ,9階,1ＬＤＫ,-,"9,460円",376.3万円,京王線　初台,徒歩　3分,（株）Ｆｉｎｄホーム,1972年（昭和47年） 9月,080-7478-0051
,100137125290,中古マンション,43.92㎡,東京都渋谷区代々木３丁目,売主,"9,480万円",二中,215.9万円,ブランズ代々木参宮橋,4階,1ＬＤＫ,-,"17,800円",713.6万円,小田急線　参宮橋,徒歩　2分,（株）Ｆｉｎｄホーム,2021年（令和 3年） 1月,080-4893-8310
,100137122606,中古マンション,40.00㎡,東京都渋谷区代々木４丁目,売主,"4,980万円",二中,124.5万円,代々木スカイハイツ,3階,1ＬＤＫ,-,"8,800円",411.6万円,小田急線　参宮橋,徒歩　3分,（株）アーバンコンセプト,1974年（昭和49年）10月,09047354812
,100137123500,中古マンション,70.25㎡,東京都渋谷区渋谷１丁目,一般,"14,990万円",二低,213.4万円,渋谷美竹ハイム,6階,1ＬＤＫ,-,"19,120円",705.4万円,山手線　渋谷,徒歩　3分,（株）桜丘住販,1980年（昭和55年） 7月,03-6427-0220
,100137118786,中古マンション,60.53㎡,東京都渋谷区元代々木町,専任,"12,500万円",一低,206.6万円,イニシアテラス代々木上原,2階,1ＬＤＫ,公開中,"21,190円",682.7万円,小田急線　代々木上原,徒歩　6分,住友不動産ステップ（株）　渋谷マンションプラザ,2020年（令和 2年）10月,050-3112-9793
,100137122130,中古マンション,47.25㎡,東京都渋谷区幡ヶ谷２丁目,売主,"6,480万円",準工,137.2万円,ダイアパレス幡ヶ谷第２手４．５,8階,1ＬＤＫ,-,"14,100円",453.4万円,京王線　笹塚,徒歩　5分,（株）東京中央建物,1985年（昭和60年） 3月,070-1306-1044
,100137081746,中古マンション,45.61㎡,東京都渋谷区神宮前１丁目,専任 オーナーチェンジ,"6,300万円",二中,138.2万円,パークコート神宮前,5階,1ＬＤＫ,公開中,"15,370円",456.7万円,千代田線　明治神宮前,徒歩　7分,三井不動産リアルティ（株）三井のリアルプラン青山サロン,2009年（平成21年） 1月,03-3409-6131
,100137121711,中古マンション,45.43㎡,東京都渋谷区本町５丁目,売主,"5,680万円",近商,125.1万円,ビューパレ―新宿新都心,4階,1ＬＤＫ,-,"19,425円",413.4万円,京王線　幡ヶ谷,徒歩　11分,（株）Ｍ．ｍ,1989年（平成 1年） 2月,09012024857
